km,pts
406.000,3807
475.000,3636
477.000,3631
1743.000,1554
112.000,4638
4.000,4986
189.000,4405
109.000,4648
651.000,3230
367.000,3907
293.000,4107
904.000,2726
166.000,4473
218.000,4320
447.000,3704
516.000,3536
104.000,4662
557.000,3440
3452.000,494
532.000,3499
610.000,3322
249.000,4230
105.000,4658
14729.000,0
771.000,2982
127.000,4592
69.000,4772
6.000,4979
100.000,4674
1842.000,1454
428.000,3752
94.000,4692
67.000,4780
65.000,4785
2348.000,1035
1.000,4996
1592.000,1719
0.009,5000
6.000,4979
2197.000,1146
635.000,3266
465.000,3659
1375.000,1989
305.000,4075
17.000,4941
1209.000,2222
145.000,4537
1.000,4994
1036.000,2496
1841.000,1455
166.000,4471
2975.000,680
200.000,4371
374.000,3889
44.000,4853
438.000,3726
471.000,3645
45.000,4849
977.000,2597
437.000,3728
401.000,3821
598.000,3348
699.000,3128
11625.000,0
293.000,4107
153.000,4510
252.000,4221
251.000,4226
146.000,4534
122.000,4605
221.000,4309
106.000,4656
769.000,2986
1507.000,1819
194.000,4390
1679.000,1622
1.000,4994
1211.000,2219
1163.000,2292
1534.000,1787
299.000,4090
50.000,4833
336.000,3990
232.000,4277
2321.000,1054
151.000,4518
2231.000,1120
114.000,4630
47.000,4843
304.000,4076
1179.000,2267
545.000,3468
2014.000,1295
74.000,4757
2637.000,853
127.000,4590
135.000,4566
515.000,3540
154.000,4509
1011.000,2538
395.000,3835
1512.000,1814
4735.000,209
455.000,3684
430.000,3747
4662.000,220
746.000,3031
45.000,4849
1962.000,1341
773.000,2978
109.000,4648
472.000,3643
144.000,4538
508.000,3557
9188.000,11
795.000,2933
134.000,4568
239.000,4260
371.000,3897
2140.000,1191
17.000,4941
2136.000,1194
899.000,2736
2554.000,902
286.000,4127
2915.000,807
453.000,3689
579.000,3391
337.000,3987
29.000,4901
134.000,4570
447.000,3704
2.000,4990
2082.000,1238
3031.000,665
135.000,4565
14201.000,0
51.000,4832
863.000,2804
217.000,4321
294.000,4104
1256.000,2141
527.000,3510
802.000,2920
1617.000,1691
150.000,4520
638.000,3259
349.000,3957
801.000,2922
11.000,4963
142.000,4543
320.000,4033
245.000,4240
291.000,4114
65.000,4785
17149.000,0
212.000,4337
2258.000,1100
8598.000,16
188.000,4405
389.000,3850
148.000,4525
1119.000,2361
702.000,3122
2656.000,842
458.000,3678
1008.000,2542
661.000,3210
1502.000,1826
17.000,4942
734.000,3056
1955.000,1348
414.000,3788
994.000,2568
1278.000,2122
3895.000,367
0.662,4998
420.000,3772
238.000,4260
5.000,4983
634.000,3268
18.000,4937
1023.000,2518
190.000,4401
763.000,2997
428.000,3752
203.000,4364
1428.000,1919
4.000,4985
122.000,4607
2785.000,773
1132.000,2340
3862.000,375
798.000,2928
668.000,3195
390.000,3849
509.000,3552
254.000,4216
1085.000,2416
2.000,4993
321.000,4031
467.000,3655
486.000,3609
10306.000,5
239.000,4259
352.000,3947
11.000,4961
531.000,3501
2438.000,975
659.000,3213
2091.000,1231
11520.000,2
567.000,3418
448.000,3702
562.000,3430
714.000,3097
447.000,3704
838.000,2850
19.000,4936
1542.000,1777
278.000,4150
18551.000,0
339.000,3982
246.000,4240
284.000,4132
1787.000,1508
1213.000,2217
124.000,4600
75.000,4752
7711.000,28
1808.000,1487
311.000,4057
732.000,3060
450.000,3698
781.000,2961
411.000,3795
1838.000,1458
477.000,3630
1047.000,2477
956.000,2634
389.000,3851
3.000,4989
143.000,4541
1362.000,2006
827.000,2871
600.000,3342
1818.000,1477
2848.000,741
6712.000,56
869.000,2792
419.000,3775
203.000,4361
24.000,4920
140.000,4551
0.801,4997
497.000,3582
1363.000,2004
62.000,4793
1.000,4994
1711.000,1558
166.000,4472
188.000,4406
384.000,3864
4.000,4986
685.000,3157
532.000,3499
14901.000,0
59.000,4804
6.000,4980
201.000,4368
87.000,4716
154.000,4509
582.000,3383
1441.000,1903
616.000,3308
1909.000,1390
769.000,2985
1.000,4995
7267.000,38
316.000,4004
769.000,2984
16903.000,0
17886.000,0
689.000,3149
686.000,3156
419.000,3776
592.000,3360
83.000,4727
1438.000,1906
552.000,3452
1363.000,2004
10562.000,4
3322.000,539
1031.000,2504
0.875,4997
1011.000,2538
2.000,4991
3814.000,388
583.000,3381
924.000,2691
276.000,4155
223.000,4306
1393.000,1964
18.000,4937
482.000,3618
2701.000,817
1526.000,1797
0.085,5000
278.000,4149
83.000,4729
3569.000,457
1488.000,1843
329.000,4009
506.000,3561
203.000,4361
185.000,4415
326.000,4016
552.000,3453
658.000,3216
510.000,3551
1832.000,1463
11636.000,0
369.000,3902
1758.000,1538
1044.000,2482
292.000,4111
234.000,4273
9539.000,8
3975.000,348
291.000,4114
1506.000,1821
4.000,4984
826.000,2873
307.000,4070
2094.000,1228
4720.000,0
17.000,4941
614.000,3313
6848.000,51
1522.000,1802
935.000,2671
1340.000,2036
3431.000,501
278.000,4150
6830.000,51
353.000,3944
570.000,3412
1653.000,1650
700.000,3126
113.000,4633
357.000,3934
11.000,4963
119.000,4615
10365.000,5
330.000,4006
567.000,3418
11.000,4961
452.000,3691
610.000,3321
657.000,3218
432.000,3742
2355.000,1031
3526.000,470
950.000,2643
1.000,4994
948.000,2648
244.000,4245
272.000,4167
393.000,3842
694.000,3139
573.000,3404
104.000,4662
289.000,4118
258.000,4204
226.000,4296
38.000,4872
1478.000,1856
269.000,4175
44.000,4852
3933.000,358
2694.000,821
860.000,2808
699.000,3129
506.000,3559
1374.000,1990
1944.000,1358
870.000,2790
447.000,3705
78.000,4744
544.000,3471
167.000,4469
209.000,4345
770.000,2982
699.000,3129
268.000,4175
2242.000,1112
1513.000,1812
2166.000,1170
16993.000,0
750.000,3024
698.000,3130
7343.000,0
338.000,3985
13.000,4954
13.000,4954
1662.000,1640
192.000,4395
276.000,4155
456.000,3681
2198.000,1146
1181.000,2264
458.000,3678
297.000,4096
2744.000,794
3.000,4989
227.000,4293
15071.000,0
73.000,4758
52.000,4829
289.000,4119
156.000,4501
0.720,4998
686.000,3155
2175.000,1163
210.000,4343
7816.000,26
2586.000,883
506.000,3561
861.000,2806
2095.000,1227
202.000,4366
1385.000,1975
155.000,4505
4910.000,186
2416.000,989
70.000,4769
425.000,3760
5185.000,155
2358.000,1029
3530.000,469
214.000,4331
3329.000,537
187.000,4409
15104.000,0
21.000,4928
194.000,4388
11781.000,2
1708.000,1591
1651.000,1652
28.000,4907
590.000,3366
28.000,4905
6703.000,56
364.000,3917
249.000,4231
741.000,3042
1054.000,2465
250.000,4228
26.000,4913
410.000,3796
3393.000,514
2044.000,1270
698.000,3130
306.000,4072
1741.000,1556
3027.000,657
1901.000,1397
1593.000,1718
161.000,4488
977.000,2597
244.000,4245
1366,2001
1922,1378
413,3790
1048,2476
321,4031
126,4594
0.716,4998
571,3409
6,4980
1860,1437
94,4693
129,4585
958,2629
3157,602
1404,1950
886,2759
4913,186
0.22,4999
1093,2402
189,4403
4620,226
196,4384
3750,405
112,4637
3777,397
109,4645
3,4989
800,2924
561,3432
12032,2
232,4278
1310,2077
127,4591
136,4564
36,4879
489,3601
229,4287
367,3908
1,4997
3166,599
524,3518
2755,789
2968,684
1050,2473
693,3140
1056,2463
3853,378
8,4972
31,4894
108,4649
12353,1
245,4242
4284,283
66,4783
7110,43
112,4638
282,4137
103,4666
650,3233
1492,1839